Scan,MMI,VI,TI
np_13F02_34E04_MB006B_020413B_scaled,100,100,100
np_13F02_52H09_MB010B_021713A_scaled,100,94,98
np_13F02_52H09_MB010B_021713B_scaled,100,53,100
np_14C08_15B01_MB011A_020613B_scaled,100,84,97
np_14C08_15B01_MB011A_020613C_scaled,100,72,85
np_14E06_22B12_MB012B_020413B_scaled,100,92,88
np_24H08_53F03_MB027B_020413A_scaled,100,100,100
np_30C01_53H03_MB078C_021713B_scaled,89,86,95
np_33D07_10F07_MB033B_020613A_scaled,100,73,90
np_52B07_52H01_MB262B_021713B_scaled,100,97,100
np_58E02_22E04_MB042C_020213A_scaled,99,96,100
np_58E02_32D11_MB043B_020213A_scaled,100,100,100
np_58E02_32D11_MB043B_021713B_scaled,92,96,100
np_58E02_37E10_MB299C_021713A_scaled,100,94,100
np_58E02_87B09_MB045C_020213B_scaled,100,100,65
np_60H12_14E09_MB049B_020113B_scaled,100,100,100
np_73F07_30E11_MB302B_022013B_scaled,100,100,100
np_73F07_38E08_MB303B_022013A_scaled,100,100,100
np_73F07_38E08_MB303B_022013B_scaled,100,68,100
np_73H08_19F09_MB090A_021713A_scaled,100,100,100
np_73H08_55A07_MB243A_022013B_scaled,100,100,100
