Scan,MMI,VI,TI
np_GL_09B11_AE_01_012410A_scaled,72,80,76
np_GL_10A07_AE_01_011511B_scaled,100,100,100
np_GL_24B09_AE_01_102709B_scaled,37,26,86
np_GL_31B04_AE_01_031911B_scaled,71,100,47
np_GL_39A12_AE_01_051609B_scaled,98,64,100
np_GL_39H11_AE_01_080409B_scaled,54,32,89
np_GL_43A11_AE_01_101609B_scaled,74,75,94
np_GL_43A12_AE_01_101210B_scaled,100,100,100
np_GL_47C10_AE_01_061509A_scaled,78,60,95
np_GL_49C01_AE_01_111710A_scaled,97,62,50
np_GL_53A06_AE_01_081209A_scaled,49,17,75
np_GL_53H01_AE_01_021611A_scaled,81,80,77
np_GL_58E05_AE_01_082709B_scaled,92,98,70
np_GL_60A07_AE_01_091509A_scaled,58,33,87
np_GL_60F09_AE_01_012010A_scaled,74,81,92
np_GL_62A03_AD_01_020610A_scaled,72,90,95
np_GL_68B03_AE_01_110408B_scaled,86,70,63
np_GL_73B11_AE_01_121309B_scaled,77,45,76
np_GL_79B07_AE_01_100110B_scaled,87,95,72
np_GL_85B08_AE_01_081210A_scaled,79,95,69
np_GL_89B10_AE_01_090410A_scaled,83,64,44
np_GL_93A08_AE_01_071110B_scaled,88,100,94
np_GL_93F05_AE_01_090310A_scaled,67,55,81
np_GL_96A08_AD_01_031911B_scaled,89,61,94
